round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
64,APT-Finals-2,1,26,3,2024-10-10T11:07:23.488Z
64,CookingNonna,0,0,,
64,Diese-2,0,0,,
64,Diese-1,23,24,20,2024-10-10T09:02:01.279Z
64,duogesto,30,33,11,2024-10-10T09:03:16.013Z
64,fonograph,17,35,20,2024-10-10T09:19:01.906Z
64,Sanromolo,0,0,,
65,APT-Finals-1,0,0,,
65,CookingNonna,0,0,,
65,APT-Finals-2,1,29,3,2024-10-10T11:07:23.488Z
65,Diese-1,22,23,20,2024-10-10T09:02:01.279Z
65,Diese-2,0,0,,
65,duogesto,31,34,11,2024-10-10T09:03:16.013Z
65,fonograph,18,35,20,2024-10-10T09:19:01.906Z
65,Sanromolo,0,0,,
66,CookingNonna,0,0,,
66,APT-Finals-2,1,19,3,2024-10-10T11:07:23.488Z
66,APT-Finals-1,0,0,,
66,Diese-1,22,24,20,2024-10-10T09:02:01.279Z
66,Diese-2,0,0,,
66,duogesto,31,33,11,2024-10-10T09:03:16.013Z
66,fonograph,18,34,20,2024-10-10T09:19:01.906Z
66,Sanromolo,1,14,27,2024-10-10T11:10:45.976Z
67,APT-Finals-1,0,0,,
67,APT-Finals-2,2,21,3,2024-10-10T11:07:23.488Z
67,Diese-2,0,0,,
67,CookingNonna,0,0,,
67,Diese-1,23,24,20,2024-10-10T09:02:01.279Z
67,duogesto,31,29,11,2024-10-10T09:03:16.013Z
67,fonograph,19,35,20,2024-10-10T09:19:01.906Z
67,Sanromolo,1,20,27,2024-10-10T11:10:45.976Z
68,CookingNonna,0,0,,
68,APT-Finals-1,0,0,,
68,Diese-1,24,23,20,2024-10-10T09:02:01.279Z
68,APT-Finals-2,2,28,3,2024-10-10T11:07:23.488Z
68,Diese-2,0,0,,
68,duogesto,31,29,11,2024-10-10T09:03:16.013Z
154,CookingNonna,6,27,15,2024-10-10T11:33:10.113Z
159,APT-Finals-2,11,25,3,2024-10-10T11:07:23.488Z
159,Sanromolo,4,28,27,2024-10-10T11:10:45.976Z
164,APT-Finals-2,11,24,3,2024-10-10T11:07:23.488Z
164,fonograph,27,18,20,2024-10-10T09:19:01.906Z
169,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
169,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
174,CookingNonna,6,31,15,2024-10-10T11:33:10.113Z
179,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
184,APT-Finals-2,15,24,3,2024-10-10T11:07:23.488Z
68,Sanromolo,1,19,27,2024-10-10T11:10:45.976Z
69,APT-Finals-1,0,0,,
69,fonograph,18,33,20,2024-10-10T09:19:01.906Z
73,APT-Finals-1,0,0,,
73,duogesto,30,22,11,2024-10-10T09:03:16.013Z
77,APT-Finals-1,0,0,,
77,duogesto,30,22,11,2024-10-10T09:03:16.013Z
81,APT-Finals-1,0,0,,
81,duogesto,30,20,11,2024-10-10T09:03:16.013Z
85,APT-Finals-2,4,27,3,2024-10-10T11:07:23.488Z
85,fonograph,22,32,20,2024-10-10T09:19:01.906Z
89,CookingNonna,2,34,15,2024-10-10T11:33:10.113Z
93,APT-Finals-2,4,33,3,2024-10-10T11:07:23.488Z
97,Diese-1,28,17,20,2024-10-10T09:02:01.279Z
97,Sanromolo,1,27,27,2024-10-10T11:10:45.976Z
101,CookingNonna,3,32,15,2024-10-10T11:33:10.113Z
101,Sanromolo,1,26,27,2024-10-10T11:10:45.976Z
105,APT-Finals-2,7,31,3,2024-10-10T11:07:23.488Z
109,Diese-2,0,0,,
114,APT-Finals-1,0,0,,
114,duogesto,32,15,11,2024-10-10T09:03:16.013Z
118,APT-Finals-1,0,0,,
118,duogesto,32,13,11,2024-10-10T09:03:16.013Z
122,Diese-1,29,13,20,2024-10-10T09:02:01.279Z
126,CookingNonna,4,28,15,2024-10-10T11:33:10.113Z
130,Diese-1,30,12,20,2024-10-10T09:02:01.279Z
130,Sanromolo,2,28,27,2024-10-10T11:10:45.976Z
135,APT-Finals-2,10,25,3,2024-10-10T11:07:23.488Z
135,duogesto,32,17,11,2024-10-10T09:03:16.013Z
139,APT-Finals-1,0,0,,
139,duogesto,32,17,11,2024-10-10T09:03:16.013Z
143,APT-Finals-1,0,0,,
143,duogesto,31,17,11,2024-10-10T09:03:16.013Z
147,APT-Finals-1,0,0,,
147,duogesto,32,17,11,2024-10-10T09:03:16.013Z
151,APT-Finals-1,0,0,,
151,duogesto,31,17,11,2024-10-10T09:03:16.013Z
154,Diese-2,0,0,,
159,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
159,fonograph,26,17,20,2024-10-10T09:19:01.906Z
164,CookingNonna,6,35,15,2024-10-10T11:33:10.113Z
164,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
170,APT-Finals-1,1,28,20,2024-10-10T14:37:29.635Z
170,duogesto,32,15,11,2024-10-10T09:03:16.013Z
174,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
174,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
180,APT-Finals-1,1,27,20,2024-10-10T14:37:29.635Z
180,duogesto,30,15,11,2024-10-10T09:03:16.013Z
184,Diese-2,0,0,,
184,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
69,APT-Finals-2,2,23,3,2024-10-10T11:07:23.488Z
73,APT-Finals-2,2,22,3,2024-10-10T11:07:23.488Z
73,Sanromolo,1,22,27,2024-10-10T11:10:45.976Z
77,APT-Finals-2,2,28,3,2024-10-10T11:07:23.488Z
77,fonograph,21,31,20,2024-10-10T09:19:01.906Z
81,Diese-2,0,0,,
85,Diese-2,0,0,,
85,Sanromolo,1,31,27,2024-10-10T11:10:45.976Z
89,APT-Finals-2,4,32,3,2024-10-10T11:07:23.488Z
89,fonograph,23,32,20,2024-10-10T09:19:01.906Z
93,Diese-1,27,17,20,2024-10-10T09:02:01.279Z
93,Sanromolo,1,29,27,2024-10-10T11:10:45.976Z
97,CookingNonna,2,32,15,2024-10-10T11:33:10.113Z
101,Diese-1,28,17,20,2024-10-10T09:02:01.279Z
101,fonograph,27,28,20,2024-10-10T09:19:01.906Z
105,Diese-2,0,0,,
109,Diese-1,29,15,20,2024-10-10T09:02:01.279Z
109,fonograph,26,25,20,2024-10-10T09:19:01.906Z
114,APT-Finals-2,8,30,3,2024-10-10T11:07:23.488Z
118,APT-Finals-2,9,30,3,2024-10-10T11:07:23.488Z
118,fonograph,26,23,20,2024-10-10T09:19:01.906Z
122,CookingNonna,4,30,15,2024-10-10T11:33:10.113Z
122,fonograph,27,22,20,2024-10-10T09:19:01.906Z
126,APT-Finals-2,9,28,3,2024-10-10T11:07:23.488Z
126,Sanromolo,2,27,27,2024-10-10T11:10:45.976Z
131,APT-Finals-1,0,0,,
131,duogesto,32,15,11,2024-10-10T09:03:16.013Z
135,APT-Finals-1,0,0,,
135,fonograph,27,20,20,2024-10-10T09:19:01.906Z
139,Diese-1,30,12,20,2024-10-10T09:02:01.279Z
139,fonograph,27,20,20,2024-10-10T09:19:01.906Z
143,APT-Finals-2,11,26,3,2024-10-10T11:07:23.488Z
143,Sanromolo,3,26,27,2024-10-10T11:10:45.976Z
147,Diese-1,31,11,20,2024-10-10T09:02:01.279Z
147,fonograph,27,17,20,2024-10-10T09:19:01.906Z
151,Diese-2,0,0,,
151,fonograph,26,19,20,2024-10-10T09:19:01.906Z
154,Diese-1,31,11,20,2024-10-10T09:02:01.279Z
154,fonograph,27,18,20,2024-10-10T09:19:01.906Z
159,CookingNonna,5,26,15,2024-10-10T11:33:10.113Z
164,Diese-2,0,0,,
170,Diese-1,31,10,20,2024-10-10T09:02:01.279Z
175,APT-Finals-1,1,28,20,2024-10-10T14:37:29.635Z
175,duogesto,33,15,11,2024-10-10T09:03:16.013Z
180,APT-Finals-2,12,24,3,2024-10-10T11:07:23.488Z
185,APT-Finals-1,1,27,20,2024-10-10T14:37:29.635Z
185,duogesto,31,14,11,2024-10-10T09:03:16.013Z
69,Diese-2,0,0,,
69,Sanromolo,1,22,27,2024-10-10T11:10:45.976Z
73,CookingNonna,0,0,,
73,fonograph,20,29,20,2024-10-10T09:19:01.906Z
77,Diese-1,25,22,20,2024-10-10T09:02:01.279Z
81,CookingNonna,1,35,15,2024-10-10T11:33:10.113Z
81,fonograph,20,31,20,2024-10-10T09:19:01.906Z
85,Diese-1,24,18,20,2024-10-10T09:02:01.279Z
89,Diese-1,26,17,20,2024-10-10T09:02:01.279Z
93,CookingNonna,3,32,15,2024-10-10T11:33:10.113Z
97,APT-Finals-2,5,34,3,2024-10-10T11:07:23.488Z
97,fonograph,25,28,20,2024-10-10T09:19:01.906Z
101,APT-Finals-2,6,32,3,2024-10-10T11:07:23.488Z
105,Diese-1,29,15,20,2024-10-10T09:02:01.279Z
105,Sanromolo,1,28,27,2024-10-10T11:10:45.976Z
110,APT-Finals-1,0,0,,
110,duogesto,32,17,11,2024-10-10T09:03:16.013Z
114,Diese-1,30,16,20,2024-10-10T09:02:01.279Z
114,Sanromolo,2,32,27,2024-10-10T11:10:45.976Z
118,CookingNonna,4,31,15,2024-10-10T11:33:10.113Z
118,Sanromolo,2,30,27,2024-10-10T11:10:45.976Z
122,Diese-2,0,0,,
122,Sanromolo,2,29,27,2024-10-10T11:10:45.976Z
127,APT-Finals-1,0,0,,
127,duogesto,32,15,11,2024-10-10T09:03:16.013Z
131,Diese-1,29,9,20,2024-10-10T09:02:01.279Z
131,fonograph,27,21,20,2024-10-10T09:19:01.906Z
135,Diese-2,0,0,,
135,Sanromolo,2,25,27,2024-10-10T11:10:45.976Z
139,CookingNonna,5,26,15,2024-10-10T11:33:10.113Z
143,CookingNonna,5,26,15,2024-10-10T11:33:10.113Z
143,fonograph,25,18,20,2024-10-10T09:19:01.906Z
147,CookingNonna,5,28,15,2024-10-10T11:33:10.113Z
151,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
151,Sanromolo,4,27,27,2024-10-10T11:10:45.976Z
155,CookingNonna,6,28,15,2024-10-10T11:33:10.113Z
155,duogesto,32,16,11,2024-10-10T09:03:16.013Z
159,Diese-2,0,0,,
165,APT-Finals-1,0,0,,
165,duogesto,33,14,11,2024-10-10T09:03:16.013Z
170,APT-Finals-2,13,26,3,2024-10-10T11:07:23.488Z
170,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
175,Diese-2,0,0,,
175,APT-Finals-2,13,26,3,2024-10-10T11:07:23.488Z
175,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
180,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
180,fonograph,27,17,20,2024-10-10T09:19:01.906Z
185,CookingNonna,7,34,15,2024-10-10T11:33:10.113Z
69,CookingNonna,0,0,,
73,Diese-2,0,0,,
77,CookingNonna,1,8,15,2024-10-10T11:33:10.113Z
81,APT-Finals-2,3,33,3,2024-10-10T11:07:23.488Z
81,Sanromolo,1,20,27,2024-10-10T11:10:45.976Z
85,CookingNonna,2,31,15,2024-10-10T11:33:10.113Z
89,Diese-2,0,0,,
89,Sanromolo,1,25,27,2024-10-10T11:10:45.976Z
93,Diese-2,0,0,,
93,fonograph,24,31,20,2024-10-10T09:19:01.906Z
97,Diese-2,0,0,,
101,Diese-2,0,0,,
106,CookingNonna,3,32,15,2024-10-10T11:33:10.113Z
106,duogesto,32,17,11,2024-10-10T09:03:16.013Z
110,CookingNonna,4,32,15,2024-10-10T11:33:10.113Z
110,Sanromolo,2,33,27,2024-10-10T11:10:45.976Z
114,CookingNonna,3,31,15,2024-10-10T11:33:10.113Z
114,fonograph,27,25,20,2024-10-10T09:19:01.906Z
118,Diese-1,30,14,20,2024-10-10T09:02:01.279Z
123,APT-Finals-1,0,0,,
123,Sanromolo,2,28,27,2024-10-10T11:10:45.976Z
127,CookingNonna,5,28,15,2024-10-10T11:33:10.113Z
127,fonograph,27,22,20,2024-10-10T09:19:01.906Z
131,CookingNonna,4,28,15,2024-10-10T11:33:10.113Z
131,APT-Finals-2,10,26,3,2024-10-10T11:07:23.488Z
135,Diese-1,30,13,20,2024-10-10T09:02:01.279Z
139,APT-Finals-2,11,27,3,2024-10-10T11:07:23.488Z
143,Diese-1,30,10,20,2024-10-10T09:02:01.279Z
147,APT-Finals-2,11,25,3,2024-10-10T11:07:23.488Z
147,Sanromolo,4,31,27,2024-10-10T11:10:45.976Z
151,APT-Finals-2,11,24,3,2024-10-10T11:07:23.488Z
155,Diese-1,31,11,20,2024-10-10T09:02:01.279Z
155,fonograph,27,18,20,2024-10-10T09:19:01.906Z
160,APT-Finals-1,0,0,,
160,duogesto,31,15,11,2024-10-10T09:03:16.013Z
165,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
170,CookingNonna,7,33,15,2024-10-10T11:33:10.113Z
170,fonograph,27,18,20,2024-10-10T09:19:01.906Z
175,CookingNonna,7,26,15,2024-10-10T11:33:10.113Z
180,Diese-2,0,0,,
180,Sanromolo,6,31,27,2024-10-10T11:10:45.976Z
185,Diese-2,0,0,,
69,Diese-1,24,23,20,2024-10-10T09:02:01.279Z
69,duogesto,31,26,11,2024-10-10T09:03:16.013Z
73,Diese-1,26,22,20,2024-10-10T09:02:01.279Z
77,Diese-2,0,0,,
77,Sanromolo,1,17,27,2024-10-10T11:10:45.976Z
81,Diese-1,24,21,20,2024-10-10T09:02:01.279Z
86,APT-Finals-1,0,0,,
86,duogesto,29,19,11,2024-10-10T09:03:16.013Z
90,APT-Finals-1,0,0,,
90,duogesto,31,18,11,2024-10-10T09:03:16.013Z
90,fonograph,23,32,20,2024-10-10T09:19:01.906Z
94,APT-Finals-1,0,0,,
94,duogesto,31,18,11,2024-10-10T09:03:16.013Z
98,APT-Finals-1,0,0,,
98,duogesto,30,17,11,2024-10-10T09:03:16.013Z
102,APT-Finals-1,0,0,,
102,duogesto,32,17,11,2024-10-10T09:03:16.013Z
106,APT-Finals-1,0,0,,
110,Diese-1,29,15,20,2024-10-10T09:02:01.279Z
114,Diese-2,0,0,,
118,Diese-2,0,0,,
123,APT-Finals-2,8,29,3,2024-10-10T11:07:23.488Z
123,fonograph,27,21,20,2024-10-10T09:19:01.906Z
127,APT-Finals-2,10,28,3,2024-10-10T11:07:23.488Z
131,Diese-2,0,0,,
131,Sanromolo,2,26,27,2024-10-10T11:10:45.976Z
135,CookingNonna,5,26,15,2024-10-10T11:33:10.113Z
139,Diese-2,0,0,,
139,Sanromolo,2,24,27,2024-10-10T11:10:45.976Z
143,Diese-2,0,0,,
147,Diese-2,0,0,,
151,CookingNonna,5,27,15,2024-10-10T11:33:10.113Z
155,APT-Finals-1,0,0,,
155,Sanromolo,4,28,27,2024-10-10T11:10:45.976Z
160,Diese-2,0,0,,
160,fonograph,26,17,20,2024-10-10T09:19:01.906Z
165,CookingNonna,6,35,15,2024-10-10T11:33:10.113Z
165,APT-Finals-2,11,25,3,2024-10-10T11:07:23.488Z
165,fonograph,28,18,20,2024-10-10T09:19:01.906Z
170,Diese-2,0,0,,
175,Diese-1,32,10,20,2024-10-10T09:02:01.279Z
175,fonograph,28,18,20,2024-10-10T09:19:01.906Z
180,CookingNonna,7,34,15,2024-10-10T11:33:10.113Z
185,APT-Finals-2,14,23,3,2024-10-10T11:07:23.488Z
185,Sanromolo,7,32,27,2024-10-10T11:10:45.976Z
70,APT-Finals-1,0,0,,
70,duogesto,31,23,11,2024-10-10T09:03:16.013Z
74,APT-Finals-1,0,0,,
78,APT-Finals-1,0,0,,
78,duogesto,30,21,11,2024-10-10T09:03:16.013Z
82,APT-Finals-1,0,0,,
82,duogesto,30,19,11,2024-10-10T09:03:16.013Z
86,Diese-2,0,0,,
90,APT-Finals-2,4,29,3,2024-10-10T11:07:23.488Z
94,Diese-2,0,0,,
98,APT-Finals-2,5,33,3,2024-10-10T11:07:23.488Z
98,fonograph,24,28,20,2024-10-10T09:19:01.906Z
102,APT-Finals-2,7,31,3,2024-10-10T11:07:23.488Z
102,fonograph,26,29,20,2024-10-10T09:19:01.906Z
106,Diese-2,0,0,,
106,Sanromolo,2,35,27,2024-10-10T11:10:45.976Z
110,APT-Finals-2,8,30,3,2024-10-10T11:07:23.488Z
110,Diese-2,0,0,,
110,fonograph,27,25,20,2024-10-10T09:19:01.906Z
115,APT-Finals-1,0,0,,
115,duogesto,32,15,11,2024-10-10T09:03:16.013Z
119,APT-Finals-1,0,0,,
119,duogesto,32,14,11,2024-10-10T09:03:16.013Z
123,CookingNonna,5,31,15,2024-10-10T11:33:10.113Z
127,Diese-1,30,13,20,2024-10-10T09:02:01.279Z
127,Sanromolo,2,28,27,2024-10-10T11:10:45.976Z
132,APT-Finals-1,0,0,,
132,duogesto,31,16,11,2024-10-10T09:03:16.013Z
136,APT-Finals-1,0,0,,
136,duogesto,32,18,11,2024-10-10T09:03:16.013Z
140,APT-Finals-1,0,0,,
140,duogesto,32,17,11,2024-10-10T09:03:16.013Z
144,CookingNonna,5,27,15,2024-10-10T11:33:10.113Z
144,duogesto,31,18,11,2024-10-10T09:03:16.013Z
148,APT-Finals-1,0,0,,
148,duogesto,31,18,11,2024-10-10T09:03:16.013Z
152,APT-Finals-1,0,0,,
152,duogesto,32,17,11,2024-10-10T09:03:16.013Z
155,APT-Finals-2,11,26,3,2024-10-10T11:07:23.488Z
160,APT-Finals-2,11,25,3,2024-10-10T11:07:23.488Z
160,Sanromolo,5,30,27,2024-10-10T11:10:45.976Z
165,Diese-2,0,0,,
165,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
171,APT-Finals-1,1,28,20,2024-10-10T14:37:29.635Z
171,duogesto,33,15,11,2024-10-10T09:03:16.013Z
176,APT-Finals-1,1,28,20,2024-10-10T14:37:29.635Z
176,duogesto,32,15,11,2024-10-10T09:03:16.013Z
181,APT-Finals-1,1,28,20,2024-10-10T14:37:29.635Z
181,duogesto,31,15,11,2024-10-10T09:03:16.013Z
185,Diese-1,32,9,20,2024-10-10T09:02:01.279Z
185,fonograph,28,18,20,2024-10-10T09:19:01.906Z
70,APT-Finals-2,2,26,3,2024-10-10T11:07:23.488Z
74,CookingNonna,0,0,,
78,Diese-2,0,0,,
82,APT-Finals-2,3,32,3,2024-10-10T11:07:23.488Z
82,fonograph,21,32,20,2024-10-10T09:19:01.906Z
86,APT-Finals-2,4,29,3,2024-10-10T11:07:23.488Z
86,fonograph,22,31,20,2024-10-10T09:19:01.906Z
90,CookingNonna,2,34,15,2024-10-10T11:33:10.113Z
94,APT-Finals-2,4,33,3,2024-10-10T11:07:23.488Z
98,CookingNonna,3,33,15,2024-10-10T11:33:10.113Z
102,Diese-2,0,0,,
106,APT-Finals-2,8,31,3,2024-10-10T11:07:23.488Z
111,APT-Finals-1,0,0,,
111,duogesto,32,16,11,2024-10-10T09:03:16.013Z
115,Diese-1,29,15,20,2024-10-10T09:02:01.279Z
115,Sanromolo,2,31,27,2024-10-10T11:10:45.976Z
119,CookingNonna,4,30,15,2024-10-10T11:33:10.113Z
119,fonograph,27,23,20,2024-10-10T09:19:01.906Z
123,Diese-1,30,12,20,2024-10-10T09:02:01.279Z
123,duogesto,32,15,11,2024-10-10T09:03:16.013Z
127,Diese-2,0,0,,
132,APT-Finals-2,9,26,3,2024-10-10T11:07:23.488Z
132,fonograph,27,19,20,2024-10-10T09:19:01.906Z
136,CookingNonna,5,26,15,2024-10-10T11:33:10.113Z
136,fonograph,27,19,20,2024-10-10T09:19:01.906Z
140,APT-Finals-2,11,25,3,2024-10-10T11:07:23.488Z
140,fonograph,26,20,20,2024-10-10T09:19:01.906Z
144,APT-Finals-1,0,0,,
144,Sanromolo,3,27,27,2024-10-10T11:10:45.976Z
148,Diese-1,31,10,20,2024-10-10T09:02:01.279Z
152,Diese-1,31,11,20,2024-10-10T09:02:01.279Z
155,Diese-2,0,0,,
160,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
166,APT-Finals-1,0,0,,
166,duogesto,32,14,11,2024-10-10T09:03:16.013Z
171,APT-Finals-2,13,28,3,2024-10-10T11:07:23.488Z
171,fonograph,28,17,20,2024-10-10T09:19:01.906Z
176,APT-Finals-2,12,25,3,2024-10-10T11:07:23.488Z
181,APT-Finals-2,14,24,3,2024-10-10T11:07:23.488Z
70,CookingNonna,0,0,,
70,fonograph,19,30,20,2024-10-10T09:19:01.906Z
74,Diese-1,25,23,20,2024-10-10T09:02:01.279Z
74,fonograph,20,33,20,2024-10-10T09:19:01.906Z
78,APT-Finals-2,2,22,3,2024-10-10T11:07:23.488Z
82,CookingNonna,1,35,15,2024-10-10T11:33:10.113Z
86,CookingNonna,2,34,15,2024-10-10T11:33:10.113Z
86,Sanromolo,1,29,27,2024-10-10T11:10:45.976Z
90,Diese-1,26,17,20,2024-10-10T09:02:01.279Z
90,Sanromolo,1,28,27,2024-10-10T11:10:45.976Z
94,Diese-1,27,17,20,2024-10-10T09:02:01.279Z
94,fonograph,24,31,20,2024-10-10T09:19:01.906Z
98,Diese-2,0,0,,
98,Sanromolo,1,26,27,2024-10-10T11:10:45.976Z
102,Diese-1,30,17,20,2024-10-10T09:02:01.279Z
106,Diese-1,29,14,20,2024-10-10T09:02:01.279Z
106,fonograph,27,28,20,2024-10-10T09:19:01.906Z
111,Diese-1,29,15,20,2024-10-10T09:02:01.279Z
115,Diese-2,0,0,,
115,fonograph,26,24,20,2024-10-10T09:19:01.906Z
119,Diese-2,0,0,,
123,Diese-2,0,0,,
128,APT-Finals-1,0,0,,
