round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
182,APT-Finals-2,14,23,3,2024-10-10T11:07:23.488Z
182,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
186,APT-Finals-2,14,24,3,2024-10-10T11:07:23.488Z
189,Diese-2,0,0,,
189,Sanromolo,7,32,27,2024-10-10T11:10:45.976Z
190,Diese-2,0,0,,
191,Diese-2,0,0,,
191,fonograph,26,18,20,2024-10-10T09:19:01.906Z
192,Diese-2,0,0,,
192,Sanromolo,7,32,27,2024-10-10T11:10:45.976Z
193,Diese-2,0,0,,
193,Sanromolo,7,32,27,2024-10-10T11:10:45.976Z
194,Diese-2,0,0,,
195,Diese-2,0,0,,
195,Sanromolo,7,32,27,2024-10-10T11:10:45.976Z
196,Diese-1,32,15,20,2024-10-10T09:02:01.279Z
197,Diese-1,32,15,20,2024-10-10T09:02:01.279Z
198,Diese-2,0,0,,
198,fonograph,28,19,20,2024-10-10T09:19:01.906Z
199,CookingNonna,7,35,15,2024-10-10T11:33:10.113Z
200,Diese-1,31,17,20,2024-10-10T09:02:01.279Z
201,CookingNonna,9,35,15,2024-10-10T11:33:10.113Z
201,fonograph,27,19,20,2024-10-10T09:19:01.906Z
202,Diese-2,0,0,,
202,fonograph,28,19,20,2024-10-10T09:19:01.906Z
204,CookingNonna,10,36,15,2024-10-10T11:33:10.113Z
205,Diese-2,0,0,,
206,CookingNonna,9,35,15,2024-10-10T11:33:10.113Z
206,fonograph,26,18,20,2024-10-10T09:19:01.906Z
208,APT-Finals-2,13,23,3,2024-10-10T11:07:23.488Z
208,Sanromolo,9,32,27,2024-10-10T11:10:45.976Z
210,Diese-2,0,0,,
210,Sanromolo,9,33,27,2024-10-10T11:10:45.976Z
71,APT-Finals-2,2,27,3,2024-10-10T11:07:23.488Z
71,Sanromolo,1,18,27,2024-10-10T11:10:45.976Z
75,APT-Finals-2,2,24,3,2024-10-10T11:07:23.488Z
75,fonograph,20,33,20,2024-10-10T09:19:01.906Z
79,CookingNonna,1,5,15,2024-10-10T11:33:10.113Z
79,fonograph,21,31,20,2024-10-10T09:19:01.906Z
83,Diese-2,0,0,,
87,Diese-1,25,18,20,2024-10-10T09:02:01.279Z
87,Sanromolo,1,27,27,2024-10-10T11:10:45.976Z
91,Diese-2,0,0,,
95,Diese-2,0,0,,
99,Diese-2,0,0,,
103,CookingNonna,2,31,15,2024-10-10T11:33:10.113Z
103,Sanromolo,1,28,27,2024-10-10T11:10:45.976Z
108,APT-Finals-1,0,0,,
108,duogesto,32,17,11,2024-10-10T09:03:16.013Z
112,Diese-1,30,15,20,2024-10-10T09:02:01.279Z
112,Sanromolo,2,32,27,2024-10-10T11:10:45.976Z
116,CookingNonna,2,31,15,2024-10-10T11:33:10.113Z
120,Diese-1,29,14,20,2024-10-10T09:02:01.279Z
120,fonograph,27,22,20,2024-10-10T09:19:01.906Z
124,Diese-2,0,0,,
124,fonograph,26,21,20,2024-10-10T09:19:01.906Z
129,Diese-2,0,0,,
129,Sanromolo,2,28,27,2024-10-10T11:10:45.976Z
133,APT-Finals-2,10,27,3,2024-10-10T11:07:23.488Z
137,CookingNonna,5,27,15,2024-10-10T11:33:10.113Z
141,Diese-2,0,0,,
141,Sanromolo,2,24,27,2024-10-10T11:10:45.976Z
145,Diese-1,31,11,20,2024-10-10T09:02:01.279Z
145,Sanromolo,4,30,27,2024-10-10T11:10:45.976Z
149,CookingNonna,5,27,15,2024-10-10T11:33:10.113Z
153,CookingNonna,6,28,15,2024-10-10T11:33:10.113Z
157,APT-Finals-1,0,0,,
157,duogesto,32,15,11,2024-10-10T09:03:16.013Z
157,fonograph,27,19,20,2024-10-10T09:19:01.906Z
162,Diese-2,0,0,,
162,fonograph,25,17,20,2024-10-10T09:19:01.906Z
167,Diese-2,0,0,,
167,fonograph,28,18,20,2024-10-10T09:19:01.906Z
172,APT-Finals-1,1,28,20,2024-10-10T14:37:29.635Z
172,duogesto,32,15,11,2024-10-10T09:03:16.013Z
177,Diese-2,0,0,,
182,Diese-1,32,8,20,2024-10-10T09:02:01.279Z
182,fonograph,27,18,20,2024-10-10T09:19:01.906Z
187,APT-Finals-1,1,27,20,2024-10-10T14:37:29.635Z
187,duogesto,31,12,11,2024-10-10T09:03:16.013Z
71,Diese-2,0,0,,
75,Diese-1,25,22,20,2024-10-10T09:02:01.279Z
75,Sanromolo,1,18,27,2024-10-10T11:10:45.976Z
79,Diese-1,25,22,20,2024-10-10T09:02:01.279Z
83,APT-Finals-2,3,30,3,2024-10-10T11:07:23.488Z
83,Sanromolo,1,30,27,2024-10-10T11:10:45.976Z
87,Diese-2,0,0,,
91,APT-Finals-2,4,28,3,2024-10-10T11:07:23.488Z
91,Sanromolo,1,28,27,2024-10-10T11:10:45.976Z
95,Diese-1,27,17,20,2024-10-10T09:02:01.279Z
99,Diese-1,28,17,20,2024-10-10T09:02:01.279Z
103,APT-Finals-2,7,31,3,2024-10-10T11:07:23.488Z
108,CookingNonna,2,32,15,2024-10-10T11:33:10.113Z
108,fonograph,27,26,20,2024-10-10T09:19:01.906Z
112,CookingNonna,3,31,15,2024-10-10T11:33:10.113Z
116,Diese-2,0,0,,
116,Sanromolo,2,31,27,2024-10-10T11:10:45.976Z
120,APT-Finals-2,8,29,3,2024-10-10T11:07:23.488Z
125,APT-Finals-1,0,0,,
125,duogesto,32,15,11,2024-10-10T09:03:16.013Z
129,Diese-1,31,12,20,2024-10-10T09:02:01.279Z
133,Diese-1,29,13,20,2024-10-10T09:02:01.279Z
133,fonograph,27,19,20,2024-10-10T09:19:01.906Z
137,Diese-2,0,0,,
141,CookingNonna,5,27,15,2024-10-10T11:33:10.113Z
141,fonograph,27,20,20,2024-10-10T09:19:01.906Z
145,CookingNonna,5,27,15,2024-10-10T11:33:10.113Z
149,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
153,Diese-1,31,11,20,2024-10-10T09:02:01.279Z
157,APT-Finals-2,11,25,3,2024-10-10T11:07:23.488Z
162,APT-Finals-2,11,24,3,2024-10-10T11:07:23.488Z
162,Sanromolo,5,31,27,2024-10-10T11:10:45.976Z
167,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
167,CookingNonna,6,35,15,2024-10-10T11:33:10.113Z
167,Sanromolo,5,32,27,2024-10-10T11:10:45.976Z
172,APT-Finals-2,12,26,3,2024-10-10T11:07:23.488Z
177,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
177,fonograph,28,18,20,2024-10-10T09:19:01.906Z
182,CookingNonna,7,34,15,2024-10-10T11:33:10.113Z
187,Diese-1,31,15,20,2024-10-10T09:02:01.279Z
71,APT-Finals-1,0,0,,
71,fonograph,20,30,20,2024-10-10T09:19:01.906Z
75,Diese-2,0,0,,
79,Diese-2,0,0,,
83,Diese-1,25,18,20,2024-10-10T09:02:01.279Z
83,fonograph,21,32,20,2024-10-10T09:19:01.906Z
88,APT-Finals-1,0,0,,
88,duogesto,30,18,11,2024-10-10T09:03:16.013Z
92,APT-Finals-1,0,0,,
92,duogesto,31,18,11,2024-10-10T09:03:16.013Z
96,APT-Finals-1,0,0,,
96,duogesto,31,18,11,2024-10-10T09:03:16.013Z
100,APT-Finals-1,0,0,,
100,duogesto,32,18,11,2024-10-10T09:03:16.013Z
104,APT-Finals-1,0,0,,
104,duogesto,32,17,11,2024-10-10T09:03:16.013Z
108,APT-Finals-2,8,30,3,2024-10-10T11:07:23.488Z
112,Diese-2,0,0,,
116,Diese-1,31,16,20,2024-10-10T09:02:01.279Z
120,Diese-2,0,0,,
120,Sanromolo,2,30,27,2024-10-10T11:10:45.976Z
125,APT-Finals-2,9,29,3,2024-10-10T11:07:23.488Z
129,CookingNonna,5,28,15,2024-10-10T11:33:10.113Z
129,fonograph,26,22,20,2024-10-10T09:19:01.906Z
133,Diese-2,0,0,,
133,Sanromolo,2,16,27,2024-10-10T11:10:45.976Z
137,Diese-1,30,12,20,2024-10-10T09:02:01.279Z
137,Sanromolo,2,25,27,2024-10-10T11:10:45.976Z
141,Diese-1,30,10,20,2024-10-10T09:02:01.279Z
145,Diese-2,0,0,,
149,Diese-2,0,0,,
149,Sanromolo,4,29,27,2024-10-10T11:10:45.976Z
153,Diese-2,0,0,,
153,Sanromolo,4,26,27,2024-10-10T11:10:45.976Z
157,Diese-2,0,0,,
162,CookingNonna,6,26,15,2024-10-10T11:33:10.113Z
167,APT-Finals-2,12,25,3,2024-10-10T11:07:23.488Z
172,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
178,APT-Finals-1,1,28,20,2024-10-10T14:37:29.635Z
178,duogesto,32,15,11,2024-10-10T09:03:16.013Z
182,Diese-2,0,0,,
187,CookingNonna,6,34,15,2024-10-10T11:33:10.113Z
187,Sanromolo,7,32,27,2024-10-10T11:10:45.976Z
72,APT-Finals-1,0,0,,
76,APT-Finals-1,0,0,,
76,duogesto,30,20,11,2024-10-10T09:03:16.013Z
80,APT-Finals-1,0,0,,
80,duogesto,30,20,11,2024-10-10T09:03:16.013Z
84,APT-Finals-1,0,0,,
84,duogesto,30,19,11,2024-10-10T09:03:16.013Z
88,APT-Finals-2,4,30,3,2024-10-10T11:07:23.488Z
92,Diese-1,26,17,20,2024-10-10T09:02:01.279Z
92,fonograph,24,32,20,2024-10-10T09:19:01.906Z
96,CookingNonna,2,34,15,2024-10-10T11:33:10.113Z
100,CookingNonna,3,31,15,2024-10-10T11:33:10.113Z
104,APT-Finals-2,7,31,3,2024-10-10T11:07:23.488Z
104,CookingNonna,3,31,15,2024-10-10T11:33:10.113Z
104,fonograph,26,28,20,2024-10-10T09:19:01.906Z
108,Diese-1,29,16,20,2024-10-10T09:02:01.279Z
113,APT-Finals-1,0,0,,
113,duogesto,32,16,11,2024-10-10T09:03:16.013Z
117,APT-Finals-1,0,0,,
117,duogesto,32,14,11,2024-10-10T09:03:16.013Z
121,APT-Finals-1,0,0,,
121,duogesto,31,14,11,2024-10-10T09:03:16.013Z
125,CookingNonna,4,30,15,2024-10-10T11:33:10.113Z
125,Diese-1,31,13,20,2024-10-10T09:02:01.279Z
125,fonograph,27,21,20,2024-10-10T09:19:01.906Z
129,APT-Finals-2,10,28,3,2024-10-10T11:07:23.488Z
134,APT-Finals-1,0,0,,
134,duogesto,32,18,11,2024-10-10T09:03:16.013Z
138,CookingNonna,5,26,15,2024-10-10T11:33:10.113Z
138,duogesto,32,17,11,2024-10-10T09:03:16.013Z
142,APT-Finals-1,0,0,,
142,duogesto,31,18,11,2024-10-10T09:03:16.013Z
146,APT-Finals-1,0,0,,
146,duogesto,32,17,11,2024-10-10T09:03:16.013Z
150,APT-Finals-1,0,0,,
150,duogesto,30,18,11,2024-10-10T09:03:16.013Z
157,CookingNonna,6,28,15,2024-10-10T11:33:10.113Z
162,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
168,APT-Finals-1,0,0,,
168,duogesto,32,15,11,2024-10-10T09:03:16.013Z
173,APT-Finals-1,1,28,20,2024-10-10T14:37:29.635Z
173,duogesto,32,15,11,2024-10-10T09:03:16.013Z
178,CookingNonna,6,33,15,2024-10-10T11:33:10.113Z
178,fonograph,28,18,20,2024-10-10T09:19:01.906Z
183,APT-Finals-1,1,26,20,2024-10-10T14:37:29.635Z
183,duogesto,31,15,11,2024-10-10T09:03:16.013Z
187,Diese-2,0,0,,
72,CookingNonna,0,0,,
72,Sanromolo,1,20,27,2024-10-10T11:10:45.976Z
76,APT-Finals-2,2,26,3,2024-10-10T11:07:23.488Z
76,Sanromolo,1,24,27,2024-10-10T11:10:45.976Z
80,Diese-1,24,21,20,2024-10-10T09:02:01.279Z
80,fonograph,21,31,20,2024-10-10T09:19:01.906Z
84,Diese-1,24,20,20,2024-10-10T09:02:01.279Z
84,fonograph,21,32,20,2024-10-10T09:19:01.906Z
88,CookingNonna,2,36,15,2024-10-10T11:33:10.113Z
92,APT-Finals-2,4,31,3,2024-10-10T11:07:23.488Z
96,Diese-1,28,17,20,2024-10-10T09:02:01.279Z
96,Sanromolo,1,28,27,2024-10-10T11:10:45.976Z
100,APT-Finals-2,5,32,3,2024-10-10T11:07:23.488Z
104,Diese-1,29,16,20,2024-10-10T09:02:01.279Z
104,Sanromolo,1,27,27,2024-10-10T11:10:45.976Z
108,Diese-2,0,0,,
108,Sanromolo,2,34,27,2024-10-10T11:10:45.976Z
113,CookingNonna,4,31,15,2024-10-10T11:33:10.113Z
117,Diese-2,0,0,,
117,fonograph,27,23,20,2024-10-10T09:19:01.906Z
121,APT-Finals-2,8,29,3,2024-10-10T11:07:23.488Z
121,Diese-1,29,13,20,2024-10-10T09:02:01.279Z
121,CookingNonna,4,31,15,2024-10-10T11:33:10.113Z
121,fonograph,26,21,20,2024-10-10T09:19:01.906Z
121,Sanromolo,2,30,27,2024-10-10T11:10:45.976Z
125,Diese-2,0,0,,
125,Sanromolo,2,27,27,2024-10-10T11:10:45.976Z
130,APT-Finals-1,0,0,,
130,duogesto,32,15,11,2024-10-10T09:03:16.013Z
134,APT-Finals-2,10,27,3,2024-10-10T11:07:23.488Z
134,fonograph,27,20,20,2024-10-10T09:19:01.906Z
138,APT-Finals-1,0,0,,
138,Sanromolo,2,25,27,2024-10-10T11:10:45.976Z
142,Diese-2,0,0,,
142,Sanromolo,2,24,27,2024-10-10T11:10:45.976Z
146,CookingNonna,6,27,15,2024-10-10T11:33:10.113Z
146,fonograph,27,19,20,2024-10-10T09:19:01.906Z
150,CookingNonna,5,28,15,2024-10-10T11:33:10.113Z
150,fonograph,26,18,20,2024-10-10T09:19:01.906Z
157,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
157,Sanromolo,4,28,27,2024-10-10T11:10:45.976Z
163,APT-Finals-1,0,0,,
163,duogesto,33,15,11,2024-10-10T09:03:16.013Z
168,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
173,APT-Finals-2,13,25,3,2024-10-10T11:07:23.488Z
178,APT-Finals-2,13,24,3,2024-10-10T11:07:23.488Z
178,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
183,APT-Finals-2,15,24,3,2024-10-10T11:07:23.488Z
183,fonograph,28,18,20,2024-10-10T09:19:01.906Z
187,APT-Finals-2,13,23,3,2024-10-10T11:07:23.488Z
187,fonograph,28,18,20,2024-10-10T09:19:01.906Z
72,Diese-2,0,0,,
72,fonograph,20,30,20,2024-10-10T09:19:01.906Z
76,Diese-2,0,0,,
76,fonograph,20,33,20,2024-10-10T09:19:01.906Z
80,CookingNonna,1,34,15,2024-10-10T11:33:10.113Z
80,Sanromolo,1,17,27,2024-10-10T11:10:45.976Z
84,APT-Finals-2,3,29,3,2024-10-10T11:07:23.488Z
84,CookingNonna,1,30,15,2024-10-10T11:33:10.113Z
84,Sanromolo,1,30,27,2024-10-10T11:10:45.976Z
88,Diese-1,26,17,20,2024-10-10T09:02:01.279Z
88,Sanromolo,1,28,27,2024-10-10T11:10:45.976Z
92,Diese-2,0,0,,
92,Sanromolo,1,29,27,2024-10-10T11:10:45.976Z
96,Diese-2,0,0,,
96,fonograph,24,30,20,2024-10-10T09:19:01.906Z
100,Diese-2,0,0,,
100,fonograph,26,28,20,2024-10-10T09:19:01.906Z
104,Diese-2,0,0,,
109,APT-Finals-1,0,0,,
109,duogesto,32,17,11,2024-10-10T09:03:16.013Z
113,APT-Finals-2,8,30,3,2024-10-10T11:07:23.488Z
117,APT-Finals-2,9,30,3,2024-10-10T11:07:23.488Z
121,Diese-2,0,0,,
126,APT-Finals-1,0,0,,
126,duogesto,31,15,11,2024-10-10T09:03:16.013Z
130,CookingNonna,4,28,15,2024-10-10T11:33:10.113Z
134,CookingNonna,5,27,15,2024-10-10T11:33:10.113Z
134,Sanromolo,2,17,27,2024-10-10T11:10:45.976Z
138,APT-Finals-2,11,26,3,2024-10-10T11:07:23.488Z
142,APT-Finals-2,10,27,3,2024-10-10T11:07:23.488Z
146,Diese-2,0,0,,
146,Sanromolo,4,30,27,2024-10-10T11:10:45.976Z
150,Diese-2,0,0,,
158,APT-Finals-1,0,0,,
158,duogesto,33,13,11,2024-10-10T09:03:16.013Z
163,APT-Finals-2,11,26,3,2024-10-10T11:07:23.488Z
163,Sanromolo,5,31,27,2024-10-10T11:10:45.976Z
168,Diese-2,0,0,,
168,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
173,CookingNonna,7,32,15,2024-10-10T11:33:10.113Z
173,fonograph,28,18,20,2024-10-10T09:19:01.906Z
178,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
183,Diese-2,0,0,,
72,APT-Finals-2,2,28,3,2024-10-10T11:07:23.488Z
72,duogesto,30,21,11,2024-10-10T09:03:16.013Z
76,CookingNonna,0,0,,
80,APT-Finals-2,3,33,3,2024-10-10T11:07:23.488Z
84,Diese-2,0,0,,
88,Diese-2,0,0,,
88,fonograph,23,32,20,2024-10-10T09:19:01.906Z
92,CookingNonna,3,32,15,2024-10-10T11:33:10.113Z
96,APT-Finals-2,5,34,3,2024-10-10T11:07:23.488Z
100,Diese-1,28,18,20,2024-10-10T09:02:01.279Z
100,Sanromolo,1,24,27,2024-10-10T11:10:45.976Z
105,APT-Finals-1,0,0,,
105,duogesto,32,17,11,2024-10-10T09:03:16.013Z
109,APT-Finals-2,8,30,3,2024-10-10T11:07:23.488Z
113,Diese-2,0,0,,
113,fonograph,26,25,20,2024-10-10T09:19:01.906Z
117,Diese-1,30,15,20,2024-10-10T09:02:01.279Z
122,APT-Finals-1,0,0,,
122,duogesto,32,15,11,2024-10-10T09:03:16.013Z
126,Diese-1,31,13,20,2024-10-10T09:02:01.279Z
130,APT-Finals-2,10,28,3,2024-10-10T11:07:23.488Z
134,Diese-2,0,0,,
138,Diese-2,0,0,,
138,fonograph,27,20,20,2024-10-10T09:19:01.906Z
142,CookingNonna,4,26,15,2024-10-10T11:33:10.113Z
142,fonograph,26,19,20,2024-10-10T09:19:01.906Z
146,APT-Finals-2,11,27,3,2024-10-10T11:07:23.488Z
150,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
158,APT-Finals-2,11,25,3,2024-10-10T11:07:23.488Z
158,fonograph,26,18,20,2024-10-10T09:19:01.906Z
163,Diese-2,0,0,,
168,CookingNonna,7,35,15,2024-10-10T11:33:10.113Z
168,fonograph,28,18,20,2024-10-10T09:19:01.906Z
173,Diese-1,31,10,20,2024-10-10T09:02:01.279Z
173,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
178,Diese-2,0,0,,
183,Diese-1,32,8,20,2024-10-10T09:02:01.279Z
183,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
72,Diese-1,26,23,20,2024-10-10T09:02:01.279Z
76,Diese-1,25,23,20,2024-10-10T09:02:01.279Z
80,Diese-2,0,0,,
85,APT-Finals-1,0,0,,
85,duogesto,30,19,11,2024-10-10T09:03:16.013Z
89,APT-Finals-1,0,0,,
89,duogesto,31,18,11,2024-10-10T09:03:16.013Z
93,APT-Finals-1,0,0,,
93,duogesto,31,18,11,2024-10-10T09:03:16.013Z
97,APT-Finals-1,0,0,,
97,duogesto,31,17,11,2024-10-10T09:03:16.013Z
101,APT-Finals-1,0,0,,
101,duogesto,32,17,11,2024-10-10T09:03:16.013Z
105,CookingNonna,4,31,15,2024-10-10T11:33:10.113Z
105,fonograph,27,28,20,2024-10-10T09:19:01.906Z
109,CookingNonna,2,32,15,2024-10-10T11:33:10.113Z
109,Sanromolo,2,35,27,2024-10-10T11:10:45.976Z
113,Diese-1,30,15,20,2024-10-10T09:02:01.279Z
113,Sanromolo,2,33,27,2024-10-10T11:10:45.976Z
117,CookingNonna,3,31,15,2024-10-10T11:33:10.113Z
117,Sanromolo,2,30,27,2024-10-10T11:10:45.976Z
122,APT-Finals-2,8,29,3,2024-10-10T11:07:23.488Z
126,Diese-2,0,0,,
126,fonograph,27,22,20,2024-10-10T09:19:01.906Z
130,Diese-2,0,0,,
130,fonograph,27,22,20,2024-10-10T09:19:01.906Z
134,Diese-1,30,14,20,2024-10-10T09:02:01.279Z
138,Diese-1,30,12,20,2024-10-10T09:02:01.279Z
142,Diese-1,27,10,20,2024-10-10T09:02:01.279Z
146,Diese-1,31,10,20,2024-10-10T09:02:01.279Z
150,APT-Finals-2,11,25,3,2024-10-10T11:07:23.488Z
150,Sanromolo,4,29,27,2024-10-10T11:10:45.976Z
158,CookingNonna,5,26,15,2024-10-10T11:33:10.113Z
163,CookingNonna,6,35,15,2024-10-10T11:33:10.113Z
168,APT-Finals-2,13,26,3,2024-10-10T11:07:23.488Z
173,Diese-2,0,0,,
179,APT-Finals-1,1,28,20,2024-10-10T14:37:29.635Z
179,duogesto,32,15,11,2024-10-10T09:03:16.013Z
183,CookingNonna,7,34,15,2024-10-10T11:33:10.113Z
68,fonograph,19,35,20,2024-10-10T09:19:01.906Z
158,Diese-2,0,0,,
158,Sanromolo,4,28,27,2024-10-10T11:10:45.976Z
163,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
163,fonograph,27,18,20,2024-10-10T09:19:01.906Z
169,APT-Finals-1,1,26,20,2024-10-10T14:37:29.635Z
169,duogesto,30,15,11,2024-10-10T09:03:16.013Z
174,APT-Finals-1,1,28,20,2024-10-10T14:37:29.635Z
174,duogesto,32,15,11,2024-10-10T09:03:16.013Z
179,CookingNonna,7,34,15,2024-10-10T11:33:10.113Z
184,APT-Finals-1,1,26,20,2024-10-10T14:37:29.635Z
184,duogesto,31,15,11,2024-10-10T09:03:16.013Z
